Time,TrueAlt,EstAlt,TrueVel,EstVel,EstAngle,TrueLat,TrueLon,EstLat,EstLon
0.53,12.1034,10.5996,44.7993,44.7938,0.000623875,28.6084,-80.6043,28.6084,-80.6043
0.54,12.5598,11.056,45.6423,45.6381,0.00140767,28.6084,-80.6043,28.6084,-80.6043
0.55,13.0247,11.5208,46.4852,46.4819,0.00101063,28.6084,-80.6043,28.6084,-80.6043
0.56,13.498,11.994,47.328,47.3227,0.00198939,28.6084,-80.6043,28.6084,-80.6043
0.57,13.9797,12.4757,48.1706,48.1667,0.00173525,28.6084,-80.6043,28.6084,-80.6043
0.58,14.4698,12.9658,49.0131,49.0088,0.00127857,28.6084,-80.6043,28.6084,-80.6043
0.59,14.9684,13.4643,49.8555,49.8494,0.000996517,28.6084,-80.6043,28.6084,-80.6043
0.6,15.4753,13.4258,50.6977,50.6923,0.000788101,28.6084,-80.6043,28.6084,-80.6043
0.61,15.9907,13.9412,51.5398,51.5349,0.00111808,28.6084,-80.6043,28.6084,-80.6043
0.62,16.5146,14.4649,52.3818,52.3762,0.00175649,28.6084,-80.6043,28.6084,-80.6043
0.63,17.0468,14.9971,53.2236,53.2192,0.000957472,28.6084,-80.6043,28.6084,-80.6043
0.64,17.5874,15.5378,54.0653,54.0627,0.000275682,28.6084,-80.6043,28.6084,-80.6043
0.65,18.1365,16.0868,54.9068,54.9058,0.000128561,28.6084,-80.6043,28.6084,-80.6043
0.66,18.694,16.6443,55.7482,55.7468,0.000428479,28.6084,-80.6043,28.6084,-80.6043
0.67,19.2599,17.2102,56.5894,56.5899,0.00119597,28.6084,-80.6043,28.6084,-80.6043
0.68,19.8342,17.7845,57.4305,57.4301,0.000722445,28.6084,-80.6043,28.6084,-80.6043
0.69,20.4169,18.3672,58.2714,58.2718,0.000106065,28.6084,-80.6043,28.6084,-80.6043
0.7,21.008,18.5391,59.1121,59.1146,-0.000893735,28.6084,-80.6043,28.6084,-80.6043
0.71,21.6076,19.1386,59.9527,59.9539,-0.000213649,28.6084,-80.6043,28.6084,-80.6043
0.72,22.2155,19.7465,60.7931,60.7946,-0.000454159,28.6084,-80.6043,28.6084,-80.6043
0.73,22.8318,20.3629,61.6333,61.6333,-0.000197199,28.6084,-80.6043,28.6084,-80.6043
0.74,23.4566,20.9876,62.4734,62.4743,0.000368476,28.6084,-80.6043,28.6084,-80.6043
0.75,24.0897,21.6207,63.3133,63.3123,9.20477e-05,28.6084,-80.6043,28.6084,-80.6043
0.76,24.7312,22.2622,64.1531,64.1507,0.000470575,28.6084,-80.6043,28.6084,-80.6043
0.77,25.3811,22.9122,64.9926,64.9911,0.00142959,28.6084,-80.6043,28.6084,-80.6043
0.78,26.0395,23.5705,65.832,65.8303,0.00203887,28.6084,-80.6043,28.6084,-80.6043
0.79,26.7062,24.2372,66.6712,66.6713,0.00229104,28.6084,-80.6043,28.6084,-80.6043
0.8,27.3813,25.0679,67.5102,67.5112,0.00201004,28.6084,-80.6043,28.6084,-80.6043
0.81,28.0648,25.7514,68.3491,68.3481,0.00168439,28.6084,-80.6043,28.6084,-80.6043
0.82,28.7566,26.4433,69.1877,69.1883,0.00202235,28.6084,-80.6043,28.6084,-80.6043
0.83,29.4569,27.1436,70.0262,70.0272,0.00221777,28.6084,-80.6043,28.6084,-80.6043
0.84,30.1656,27.8522,70.8644,70.8669,0.00241206,28.6084,-80.6043,28.6084,-80.6043
0.85,30.8826,28.5693,71.7025,71.7053,0.00152273,28.6084,-80.6043,28.6084,-80.6043
0.86,31.608,29.2947,72.5404,72.5435,0.00139844,28.6084,-80.6043,28.6084,-80.6043
0.87,32.3418,30.0285,73.378,73.3817,0.00232445,28.6084,-80.6043,28.6084,-80.6043
0.88,33.0839,30.7707,74.2155,74.2194,0.00182702,28.6084,-80.6043,28.6084,-80.6043
0.89,33.8344,31.5213,75.0528,75.0574,0.00149181,28.6084,-80.6043,28.6084,-80.6043
0.9,34.5933,31.7278,75.8898,75.8936,0.000618824,28.6084,-80.6043,28.6084,-80.6043
0.91,35.3606,32.4951,76.7267,76.7304,0.00115414,28.6084,-80.6043,28.6084,-80.6043
0.92,36.1362,33.2707,77.5634,77.567,0.00101774,28.6084,-80.6043,28.6084,-80.6043
0.93,36.9202,34.0548,78.3998,78.4037,0.000828273,28.6084,-80.6043,28.6084,-80.6043
0.94,37.7126,34.8472,79.236,79.2382,0.000411099,28.6084,-80.6043,28.6084,-80.6043
0.95,38.5133,35.6479,80.072,80.0752,-0.00044244,28.6084,-80.6043,28.6084,-80.6043
0.96,39.3224,36.457,80.9078,80.9117,-0.00123856,28.6084,-80.6043,28.6084,-80.6043
0.97,40.1398,37.2745,81.7434,81.7491,-0.00157962,28.6084,-80.6043,28.6084,-80.6043
0.98,40.9656,38.1004,82.5787,82.5853,-0.00143956,28.6084,-80.6043,28.6084,-80.6043
0.99,41.7998,38.9346,83.4138,83.4192,-0.00184057,28.6084,-80.6043,28.6084,-80.6043
1,42.6422,39.8003,84.2487,84.2527,-0.00234938,28.6084,-80.6043,28.6083,-80.6044
1.01,43.4931,40.6512,85.0834,85.0889,-0.00161257,28.6084,-80.6043,28.6083,-80.6044
1.02,44.3523,41.5104,85.9178,85.9235,-0.00163728,28.6084,-80.6043,28.6083,-80.6044
1.03,45.2198,42.378,86.752,86.7573,-0.00141531,28.6084,-80.6043,28.6083,-80.6044
1.04,46.0956,43.2539,87.586,87.5932,-0.00169516,28.6084,-80.6043,28.6083,-80.6044
1.05,46.9798,44.1382,88.4197,88.4265,-0.00179006,28.6084,-80.6043,28.6083,-80.6044
1.06,47.8724,45.0308,89.2532,89.2611,-0.000888181,28.6084,-80.6043,28.6083,-80.6044
1.07,48.7732,45.9317,90.0865,90.0958,-0.00018865,28.6084,-80.6043,28.6083,-80.6044
1.08,49.6824,46.841,90.9195,90.9278,5.65082e-05,28.6084,-80.6043,28.6083,-80.6044
