Time,TrueAlt,EstAlt,TrueVel,EstVel,EstAngle,TrueLat,TrueLon,EstLat,EstLon
0.52,11.6554,9.57209,43.9561,43.9611,-0.00133131,28.6084,-80.6043,28.6084,-80.6043
0.53,12.1034,10.0201,44.7993,44.8061,-0.000494181,28.6084,-80.6043,28.6084,-80.6043
0.54,12.5598,10.4766,45.6423,45.6492,-0.000369983,28.6084,-80.6043,28.6084,-80.6043
0.55,13.0247,10.9416,46.4852,46.493,-0.00122096,28.6084,-80.6043,28.6084,-80.6043
0.56,13.498,11.4149,47.328,47.3371,-0.00148763,28.6084,-80.6043,28.6084,-80.6043
0.57,13.9797,11.8967,48.1706,48.178,-0.000750999,28.6084,-80.6043,28.6084,-80.6043
0.58,14.4698,12.3869,49.0131,49.0199,-0.00083828,28.6084,-80.6043,28.6084,-80.6043
0.59,14.9684,12.8856,49.8555,49.8633,-0.000117918,28.6084,-80.6043,28.6084,-80.6043
0.6,15.4753,12.9475,50.6977,50.7058,-0.000684021,28.6084,-80.6043,28.6084,-80.6043
0.61,15.9907,13.4629,51.5398,51.5479,0.000264341,28.6084,-80.6043,28.6084,-80.6043
0.62,16.5146,13.9868,52.3818,52.3894,5.51228e-05,28.6084,-80.6043,28.6084,-80.6043
0.63,17.0468,14.5192,53.2236,53.2325,0.000193841,28.6084,-80.6043,28.6084,-80.6043
0.64,17.5874,15.0599,54.0653,54.0749,0.00091315,28.6084,-80.6043,28.6084,-80.6043
0.65,18.1365,15.6091,54.9068,54.9161,0.00100156,28.6084,-80.6043,28.6084,-80.6043
0.66,18.694,16.1666,55.7482,55.756,0.00176624,28.6084,-80.6043,28.6084,-80.6043
0.67,19.2599,16.7326,56.5894,56.5957,0.00084308,28.6084,-80.6043,28.6084,-80.6043
0.68,19.8342,17.307,57.4305,57.4381,-0.000102579,28.6084,-80.6043,28.6084,-80.6043
0.69,20.4169,17.8898,58.2714,58.2792,-0.000268403,28.6084,-80.6043,28.6084,-80.6043
0.7,21.008,17.9098,59.1121,59.121,-3.94895e-05,28.6084,-80.6043,28.6084,-80.6043
0.71,21.6076,18.5094,59.9527,59.9606,0.000298543,28.6084,-80.6043,28.6084,-80.6043
0.72,22.2155,19.1174,60.7931,60.7996,0.000228593,28.6084,-80.6043,28.6084,-80.6043
0.73,22.8318,19.7338,61.6333,61.6383,0.00100648,28.6084,-80.6043,28.6084,-80.6043
0.74,23.4566,20.3586,62.4734,62.4777,0.00140882,28.6084,-80.6043,28.6084,-80.6043
0.75,24.0897,20.9918,63.3133,63.316,0.00203973,28.6084,-80.6043,28.6084,-80.6043
0.76,24.7312,21.6333,64.1531,64.1573,0.00119987,28.6084,-80.6043,28.6084,-80.6043
0.77,25.3811,22.2833,64.9926,64.9956,0.000748783,28.6084,-80.6043,28.6084,-80.6043
0.78,26.0395,22.9416,65.832,65.8366,0.00128478,28.6084,-80.6043,28.6084,-80.6043
0.79,26.7062,23.6084,66.6712,66.6777,0.00178572,28.6084,-80.6043,28.6084,-80.6043
0.8,27.3813,23.6373,67.5102,67.5154,0.00181665,28.6084,-80.6043,28.6084,-80.6043
0.81,28.0648,24.3209,68.3491,68.3558,0.00206478,28.6084,-80.6043,28.6084,-80.6043
0.82,28.7566,25.0128,69.1877,69.1961,0.00291672,28.6084,-80.6043,28.6084,-80.6043
0.83,29.4569,25.7132,70.0262,70.0352,0.00283874,28.6084,-80.6043,28.6084,-80.6043
0.84,30.1656,26.4219,70.8644,70.8728,0.00265054,28.6084,-80.6043,28.6084,-80.6043
0.85,30.8826,27.139,71.7025,71.7092,0.00286829,28.6084,-80.6043,28.6084,-80.6043
0.86,31.608,27.8645,72.5404,72.5472,0.00335725,28.6084,-80.6043,28.6084,-80.6043
0.87,32.3418,28.5983,73.378,73.3858,0.00434176,28.6084,-80.6043,28.6084,-80.6043
0.88,33.0839,29.3406,74.2155,74.2248,0.00460565,28.6084,-80.6043,28.6084,-80.6043
0.89,33.8344,30.0912,75.0528,75.0613,0.00474771,28.6084,-80.6043,28.6084,-80.6043
0.9,34.5933,30.1426,75.8898,75.8993,0.00401355,28.6084,-80.6043,28.6084,-80.6043
0.91,35.3606,30.91,76.7267,76.736,0.00367667,28.6084,-80.6043,28.6084,-80.6043
0.92,36.1362,31.6857,77.5634,77.5735,0.00409411,28.6084,-80.6043,28.6084,-80.6043
0.93,36.9202,32.4698,78.3998,78.4084,0.00448572,28.6084,-80.6043,28.6084,-80.6043
0.94,37.7126,33.2622,79.236,79.2444,0.00406212,28.6084,-80.6043,28.6084,-80.6043
0.95,38.5133,34.063,80.072,80.0793,0.00374579,28.6084,-80.6043,28.6084,-80.6043
0.96,39.3224,34.8722,80.9078,80.9145,0.00441645,28.6084,-80.6043,28.6084,-80.6043
0.97,40.1398,35.6897,81.7434,81.7491,0.00398676,28.6084,-80.6043,28.6084,-80.6043
0.98,40.9656,36.5155,82.5787,82.5844,0.00443457,28.6084,-80.6043,28.6084,-80.6043
0.99,41.7998,37.3497,83.4138,83.4201,0.00521951,28.6084,-80.6043,28.6084,-80.6043
1,42.6422,38.227,84.2487,84.2561,0.00469369,28.6084,-80.6043,28.6084,-80.6044
1.01,43.4931,39.0779,85.0834,85.0905,0.00565387,28.6084,-80.6043,28.6084,-80.6044
1.02,44.3523,39.9372,85.9178,85.9258,0.00662333,28.6084,-80.6043,28.6084,-80.6044
